record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week
23215,1,27,1996,21,PF,F,16,7,1996-01-27,Saturday
23217,1,27,1996,17,DM,M,36,25,1996-01-27,Saturday
23220,1,27,1996,2,DM,F,36,47,1996-01-27,Saturday
23222,1,27,1996,1,DM,M,34,27,1996-01-27,Saturday
23223,1,27,1996,2,DO,M,37,66,1996-01-27,Saturday
23224,1,27,1996,17,DM,F,39,49,1996-01-27,Saturday
23225,1,27,1996,2,DM,M,40,54,1996-01-27,Saturday
23226,1,27,1996,1,PB,F,27,38,1996-01-27,Saturday
23228,1,27,1996,21,PP,F,21,16,1996-01-27,Saturday
23229,1,27,1996,18,PF,F,16,9,1996-01-27,Saturday
23230,1,27,1996,17,DM,M,36,51,1996-01-27,Saturday
23231,1,27,1996,22,DM,F,36,43,1996-01-27,Saturday
23233,1,27,1996,12,DM,F,38,44,1996-01-27,Saturday
23234,1,27,1996,2,DM,F,35,45,1996-01-27,Saturday
23235,1,27,1996,17,DM,M,37,42,1996-01-27,Saturday
23236,1,27,1996,1,DO,M,38,42,1996-01-27,Saturday
23237,1,27,1996,2,DM,M,35,46,1996-01-27,Saturday
23238,1,27,1996,22,DM,M,38,56,1996-01-27,Saturday
23239,1,27,1996,2,PB,M,29,46,1996-01-27,Saturday
23240,1,27,1996,20,PF,M,15,6,1996-01-27,Saturday
23241,1,27,1996,24,PE,F,21,23,1996-01-27,Saturday
23242,1,27,1996,2,DO,M,36,54,1996-01-27,Saturday
23243,1,27,1996,2,DM,M,36,49,1996-01-27,Saturday
23244,1,27,1996,24,RM,M,16,10,1996-01-27,Saturday
23245,1,27,1996,12,DM,M,36,56,1996-01-27,Saturday
23246,1,27,1996,21,PM,F,20,31,1996-01-27,Saturday
23247,1,27,1996,1,DO,M,36,54,1996-01-27,Saturday
23248,1,27,1996,19,PP,M,22,16,1996-01-27,Saturday
23249,1,27,1996,1,DO,M,36,48,1996-01-27,Saturday
23250,1,27,1996,21,PF,M,15,6,1996-01-27,Saturday
23251,1,27,1996,17,PF,M,17,10,1996-01-27,Saturday
23252,1,27,1996,12,DM,F,35,40,1996-01-27,Saturday
23253,1,27,1996,17,DM,M,36,58,1996-01-27,Saturday
23255,1,27,1996,1,DO,F,35,53,1996-01-27,Saturday
23256,1,27,1996,7,RM,M,12,17,1996-01-27,Saturday
23257,1,27,1996,2,DM,M,36,50,1996-01-27,Saturday
23258,1,27,1996,2,PE,M,20,25,1996-01-27,Saturday
23259,1,27,1996,12,DM,M,39,47,1996-01-27,Saturday
23260,1,27,1996,2,PE,F,20,25,1996-01-27,Saturday
23261,1,27,1996,20,PF,M,16,9,1996-01-27,Saturday
23262,1,27,1996,1,OT,M,21,25,1996-01-27,Saturday
23263,1,27,1996,22,DM,M,39,44,1996-01-27,Saturday
23264,1,27,1996,17,DM,M,38,55,1996-01-27,Saturday
23265,1,28,1996,3,DO,M,39,64,1996-01-28,Sunday
23266,1,28,1996,4,PF,M,16,9,1996-01-28,Sunday
23267,1,28,1996,3,PE,M,20,19,1996-01-28,Sunday
23268,1,28,1996,11,DO,F,37,52,1996-01-28,Sunday
23269,1,28,1996,13,PP,M,23,17,1996-01-28,Sunday
23270,1,28,1996,15,DM,F,35,37,1996-01-28,Sunday
23271,1,28,1996,13,PF,F,16,7,1996-01-28,Sunday
23272,1,28,1996,14,DM,M,36,53,1996-01-28,Sunday
23273,1,28,1996,3,DO,F,37,52,1996-01-28,Sunday
23276,1,28,1996,4,PF,M,17,9,1996-01-28,Sunday
23277,1,28,1996,11,DM,M,39,54,1996-01-28,Sunday
23278,1,28,1996,8,DO,M,38,60,1996-01-28,Sunday
23279,1,28,1996,13,PF,F,16,11,1996-01-28,Sunday
23280,1,28,1996,15,PF,F,16,9,1996-01-28,Sunday
23281,1,28,1996,4,DM,M,37,55,1996-01-28,Sunday
23282,1,28,1996,14,DM,F,37,50,1996-01-28,Sunday
23283,1,28,1996,3,PF,M,15,5,1996-01-28,Sunday
23284,1,28,1996,9,PF,F,17,8,1996-01-28,Sunday
23285,1,28,1996,13,PF,F,15,9,1996-01-28,Sunday
23286,1,28,1996,4,PF,F,17,9,1996-01-28,Sunday
23287,1,28,1996,3,PP,F,24,18,1996-01-28,Sunday
23288,1,28,1996,15,RM,M,16,10,1996-01-28,Sunday
23289,1,28,1996,15,PF,M,16,11,1996-01-28,Sunday
23290,1,28,1996,5,PF,M,16,9,1996-01-28,Sunday
23291,1,28,1996,3,PF,M,15,9,1996-01-28,Sunday
23292,1,28,1996,8,DO,M,36,44,1996-01-28,Sunday
23293,1,28,1996,5,DO,F,36,50,1996-01-28,Sunday
23294,1,28,1996,3,PF,F,16,9,1996-01-28,Sunday
23295,1,28,1996,4,DM,M,36,46,1996-01-28,Sunday
23296,1,28,1996,5,DM,M,38,36,1996-01-28,Sunday
23298,1,28,1996,6,DO,M,33,44,1996-01-28,Sunday
23299,1,28,1996,14,DM,M,33,46,1996-01-28,Sunday
23300,1,28,1996,4,DM,F,36,52,1996-01-28,Sunday
23301,1,28,1996,8,DM,M,38,37,1996-01-28,Sunday
23302,1,28,1996,4,DM,M,38,54,1996-01-28,Sunday
23303,1,28,1996,4,DM,M,37,36,1996-01-28,Sunday
23304,1,28,1996,11,RM,M,18,12,1996-01-28,Sunday
23305,1,28,1996,14,DM,F,37,54,1996-01-28,Sunday
23306,1,28,1996,5,DM,F,38,62,1996-01-28,Sunday
23307,1,28,1996,13,DM,M,39,60,1996-01-28,Sunday
23308,1,28,1996,14,DM,M,38,54,1996-01-28,Sunday
23309,1,28,1996,9,DM,F,36,29,1996-01-28,Sunday
23310,1,28,1996,4,DM,F,38,62,1996-01-28,Sunday
23311,1,28,1996,14,DM,M,37,52,1996-01-28,Sunday
23312,1,28,1996,5,DO,F,36,44,1996-01-28,Sunday
23314,1,28,1996,8,DO,M,36,55,1996-01-28,Sunday
23315,1,28,1996,9,DO,M,38,48,1996-01-28,Sunday
23316,1,28,1996,8,DO,F,36,51,1996-01-28,Sunday
23317,1,28,1996,6,PF,M,15,7,1996-01-28,Sunday
23318,1,28,1996,9,DM,M,35,30,1996-01-28,Sunday
23319,1,28,1996,9,DM,M,38,45,1996-01-28,Sunday
23320,1,28,1996,9,DM,M,37,52,1996-01-28,Sunday
23321,1,28,1996,8,DM,M,37,53,1996-01-28,Sunday
23322,1,28,1996,14,DM,M,36,48,1996-01-28,Sunday
23323,1,28,1996,16,DM,M,37,45,1996-01-28,Sunday
23324,1,28,1996,9,DM,F,38,44,1996-01-28,Sunday
23325,1,28,1996,13,DM,M,36,53,1996-01-28,Sunday
