record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
23215,1,27,1996,21,PF,F,16,7
23216,1,27,1996,1,DM,M,36,27
23217,1,27,1996,17,DM,M,36,25
23218,1,27,1996,17,DM,M,37,25
23220,1,27,1996,2,DM,F,36,47
23221,1,27,1996,18,PF,F,16,9
23222,1,27,1996,1,DM,M,34,27
23223,1,27,1996,2,DO,M,37,66
23224,1,27,1996,17,DM,F,39,49
23225,1,27,1996,2,DM,M,40,54
23226,1,27,1996,1,PB,F,27,38
23227,1,27,1996,12,DM,F,39,51
23228,1,27,1996,21,PP,F,21,16
23229,1,27,1996,18,PF,F,16,9
23230,1,27,1996,17,DM,M,36,51
23231,1,27,1996,22,DM,F,36,43
23233,1,27,1996,12,DM,F,38,44
23234,1,27,1996,2,DM,F,35,45
23235,1,27,1996,17,DM,M,37,42
23236,1,27,1996,1,DO,M,38,42
23237,1,27,1996,2,DM,M,35,46
23238,1,27,1996,22,DM,M,38,56
23239,1,27,1996,2,PB,M,29,46
23240,1,27,1996,20,PF,M,15,6
23241,1,27,1996,24,PE,F,21,23
23242,1,27,1996,2,DO,M,36,54
23243,1,27,1996,2,DM,M,36,49
23244,1,27,1996,24,RM,M,16,10
23245,1,27,1996,12,DM,M,36,56
23246,1,27,1996,21,PM,F,20,31
23247,1,27,1996,1,DO,M,36,54
23248,1,27,1996,19,PP,M,22,16
23249,1,27,1996,1,DO,M,36,48
23250,1,27,1996,21,PF,M,15,6
23251,1,27,1996,17,PF,M,17,10
23252,1,27,1996,12,DM,F,35,40
23253,1,27,1996,17,DM,M,36,58
23255,1,27,1996,1,DO,F,35,53
23256,1,27,1996,7,RM,M,12,17
23257,1,27,1996,2,DM,M,36,50
23258,1,27,1996,2,PE,M,20,25
23259,1,27,1996,12,DM,M,39,47
23260,1,27,1996,2,PE,F,20,25
23261,1,27,1996,20,PF,M,16,9
23262,1,27,1996,1,OT,M,21,25
23263,1,27,1996,22,DM,M,39,44
23264,1,27,1996,17,DM,M,38,55
23265,1,28,1996,3,DO,M,39,64
23266,1,28,1996,4,PF,M,16,9
23267,1,28,1996,3,PE,M,20,19
23268,1,28,1996,11,DO,F,37,52
23269,1,28,1996,13,PP,M,23,17
23270,1,28,1996,15,DM,F,35,37
23271,1,28,1996,13,PF,F,16,7
23272,1,28,1996,14,DM,M,36,53
23273,1,28,1996,3,DO,F,37,52
23276,1,28,1996,4,PF,M,17,9
23277,1,28,1996,11,DM,M,39,54
23278,1,28,1996,8,DO,M,38,60
23279,1,28,1996,13,PF,F,16,11
23280,1,28,1996,15,PF,F,16,9
23281,1,28,1996,4,DM,M,37,55
23282,1,28,1996,14,DM,F,37,50
23283,1,28,1996,3,PF,M,15,5
23284,1,28,1996,9,PF,F,17,8
23285,1,28,1996,13,PF,F,15,9
23286,1,28,1996,4,PF,F,17,9
23287,1,28,1996,3,PP,F,24,18
23288,1,28,1996,15,RM,M,16,10
23289,1,28,1996,15,PF,M,16,11
23290,1,28,1996,5,PF,M,16,9
23291,1,28,1996,3,PF,M,15,9
23292,1,28,1996,8,DO,M,36,44
23293,1,28,1996,5,DO,F,36,50
23294,1,28,1996,3,PF,F,16,9
23295,1,28,1996,4,DM,M,36,46
23296,1,28,1996,5,DM,M,38,36
23298,1,28,1996,6,DO,M,33,44
23299,1,28,1996,14,DM,M,33,46
23300,1,28,1996,4,DM,F,36,52
23301,1,28,1996,8,DM,M,38,37
23302,1,28,1996,4,DM,M,38,54
23303,1,28,1996,4,DM,M,37,36
23304,1,28,1996,11,RM,M,18,12
23305,1,28,1996,14,DM,F,37,54
23306,1,28,1996,5,DM,F,38,62
23307,1,28,1996,13,DM,M,39,60
23308,1,28,1996,14,DM,M,38,54
23309,1,28,1996,9,DM,F,36,29
23310,1,28,1996,4,DM,F,38,62
23311,1,28,1996,14,DM,M,37,52
23312,1,28,1996,5,DO,F,36,44
23313,1,28,1996,8,OL,M,21,30
23314,1,28,1996,8,DO,M,36,55
23315,1,28,1996,9,DO,M,38,48
23316,1,28,1996,8,DO,F,36,51
23317,1,28,1996,6,PF,M,15,7
23318,1,28,1996,9,DM,M,35,30
23319,1,28,1996,9,DM,M,38,45
23320,1,28,1996,9,DM,M,37,52
23321,1,28,1996,8,DM,M,37,53
23322,1,28,1996,14,DM,M,36,48
23323,1,28,1996,16,DM,M,37,45
23324,1,28,1996,9,DM,F,38,44
23325,1,28,1996,13,DM,M,36,53
23326,1,28,1996,5,PP,M,23,15
23327,1,28,1996,11,DM,F,38,36
23328,1,28,1996,9,DM,M,38,56
23329,1,28,1996,14,DM,M,36,53
23330,1,28,1996,6,PF,F,15,7
23331,1,28,1996,8,DM,F,39,51
23332,1,28,1996,5,DO,F,34,34
23333,1,28,1996,3,DO,F,34,49
23334,1,28,1996,9,PF,M,17,7
23335,1,28,1996,8,DO,M,39,47
23336,1,28,1996,14,PF,F,16,11
23337,1,28,1996,15,DM,M,38,51
23338,1,28,1996,9,DM,M,38,43
23339,1,28,1996,15,DM,F,37,43
23341,2,24,1996,2,DM,F,38,55
23342,2,24,1996,12,DM,F,35,45
23343,2,24,1996,21,PF,M,16,10
23344,2,24,1996,20,PE,M,21,22
23345,2,24,1996,2,DM,M,37,45
23346,2,24,1996,22,DM,F,38,49
23347,2,24,1996,21,RM,M,18,12
23348,2,24,1996,17,DM,F,36,34
23349,2,24,1996,12,DM,M,37,48
23350,2,24,1996,1,PP,M,24,21
23351,2,24,1996,12,DM,F,38,44
23352,2,24,1996,18,PF,M,16,9
23353,2,24,1996,2,PP,F,22,17
23354,2,24,1996,12,DM,M,39,58
23355,2,24,1996,20,RM,F,18,11
23357,2,24,1996,2,DM,F,35,44
23358,2,24,1996,1,DM,M,36,37
23359,2,24,1996,21,PP,F,21,16
23360,2,24,1996,17,DM,F,37,33
23361,2,24,1996,12,DM,M,38,54
23362,2,24,1996,12,DM,F,38,49
23363,2,24,1996,12,DM,M,37,51
23364,2,24,1996,1,DO,M,35,47
