record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week
63,8,19,1977,3,DM,M,35,40,1977-08-19,Friday
64,8,19,1977,7,DM,M,37,48,1977-08-19,Friday
65,8,19,1977,4,DM,F,34,29,1977-08-19,Friday
66,8,19,1977,4,DM,F,35,46,1977-08-19,Friday
67,8,19,1977,7,DM,M,35,36,1977-08-19,Friday
68,8,19,1977,8,DO,F,32,52,1977-08-19,Friday
69,8,19,1977,2,PF,M,15,8,1977-08-19,Friday
71,8,19,1977,7,DM,F,36,35,1977-08-19,Friday
74,8,19,1977,8,PF,M,12,7,1977-08-19,Friday
75,8,19,1977,8,DM,F,32,22,1977-08-19,Friday
78,8,19,1977,1,PF,M,16,9,1977-08-19,Friday
79,8,19,1977,7,DM,F,34,42,1977-08-19,Friday
81,8,19,1977,4,PF,F,14,8,1977-08-19,Friday
82,8,19,1977,4,DM,F,35,41,1977-08-19,Friday
83,8,20,1977,6,DM,F,37,37,1977-08-20,Saturday
84,8,20,1977,19,DM,F,35,43,1977-08-20,Saturday
85,8,20,1977,23,DM,F,35,41,1977-08-20,Saturday
86,8,20,1977,18,DM,F,33,40,1977-08-20,Saturday
87,8,20,1977,5,PF,F,11,9,1977-08-20,Saturday
88,8,20,1977,18,DM,F,35,45,1977-08-20,Saturday
89,8,20,1977,12,PP,F,20,15,1977-08-20,Saturday
90,8,20,1977,18,DM,M,35,29,1977-08-20,Saturday
92,8,20,1977,6,DM,M,35,39,1977-08-20,Saturday
94,8,20,1977,18,DM,F,36,43,1977-08-20,Saturday
95,8,20,1977,23,DM,M,38,46,1977-08-20,Saturday
96,8,20,1977,12,DM,M,36,41,1977-08-20,Saturday
97,8,20,1977,18,DM,M,36,41,1977-08-20,Saturday
98,8,20,1977,5,DM,M,38,40,1977-08-20,Saturday
99,8,20,1977,11,DM,M,37,45,1977-08-20,Saturday
101,8,20,1977,5,DM,F,35,46,1977-08-20,Saturday
102,8,20,1977,23,DM,F,35,40,1977-08-20,Saturday
103,8,20,1977,18,DM,F,35,30,1977-08-20,Saturday
105,8,20,1977,19,DM,M,35,39,1977-08-20,Saturday
109,8,20,1977,6,DM,M,35,34,1977-08-20,Saturday
111,8,20,1977,11,DM,F,37,42,1977-08-20,Saturday
112,8,20,1977,23,DM,M,37,42,1977-08-20,Saturday
113,8,20,1977,5,PF,F,13,8,1977-08-20,Saturday
116,8,21,1977,13,DM,F,37,31,1977-08-21,Sunday
146,8,21,1977,13,DM,F,36,40,1977-08-21,Sunday
157,9,11,1977,20,DM,M,36,37,1977-09-11,Sunday
158,9,11,1977,22,DM,M,36,48,1977-09-11,Sunday
161,9,11,1977,5,DM,M,37,42,1977-09-11,Sunday
162,9,11,1977,6,DM,F,39,45,1977-09-11,Sunday
163,9,11,1977,12,PP,F,21,16,1977-09-11,Sunday
164,9,11,1977,22,DM,F,36,36,1977-09-11,Sunday
167,9,11,1977,6,DM,M,36,42,1977-09-11,Sunday
168,9,11,1977,12,DM,M,36,44,1977-09-11,Sunday
170,9,11,1977,20,DM,F,36,41,1977-09-11,Sunday
173,9,11,1977,12,DM,F,36,40,1977-09-11,Sunday
174,9,11,1977,12,DM,M,37,34,1977-09-11,Sunday
175,9,11,1977,19,DM,M,33,40,1977-09-11,Sunday
178,9,11,1977,18,DM,M,33,44,1977-09-11,Sunday
179,9,11,1977,12,DM,M,37,44,1977-09-11,Sunday
180,9,11,1977,6,DM,M,34,36,1977-09-11,Sunday
181,9,11,1977,20,DM,M,35,33,1977-09-11,Sunday
183,9,11,1977,5,DM,F,37,46,1977-09-11,Sunday
186,9,11,1977,19,DM,F,34,35,1977-09-11,Sunday
187,9,12,1977,17,DM,M,36,46,1977-09-12,Monday
189,9,12,1977,17,DM,F,33,37,1977-09-12,Monday
190,9,12,1977,7,DM,M,36,34,1977-09-12,Monday
192,9,12,1977,4,DM,F,36,45,1977-09-12,Monday
196,9,12,1977,7,PF,F,15,7,1977-09-12,Monday
197,9,12,1977,14,DM,M,37,51,1977-09-12,Monday
198,9,12,1977,4,DM,M,35,39,1977-09-12,Monday
199,9,12,1977,11,DM,M,36,29,1977-09-12,Monday
202,9,12,1977,17,DM,F,32,48,1977-09-12,Monday
203,9,12,1977,11,DM,M,38,46,1977-09-12,Monday
204,9,12,1977,16,DM,F,37,41,1977-09-12,Monday
208,9,12,1977,14,DM,M,37,45,1977-09-12,Monday
209,9,12,1977,17,DM,F,35,42,1977-09-12,Monday
210,9,12,1977,11,DM,F,36,53,1977-09-12,Monday
213,9,12,1977,14,DM,F,35,49,1977-09-12,Monday
215,9,12,1977,14,DM,F,36,46,1977-09-12,Monday
216,9,12,1977,4,PF,F,13,9,1977-09-12,Monday
217,9,13,1977,3,PP,F,19,15,1977-09-13,Tuesday
218,9,13,1977,1,PF,M,13,4,1977-09-13,Tuesday
219,9,13,1977,13,DM,M,36,48,1977-09-13,Tuesday
226,9,13,1977,2,DM,M,37,51,1977-09-13,Tuesday
228,9,13,1977,9,DM,M,38,50,1977-09-13,Tuesday
229,9,13,1977,13,DM,M,35,44,1977-09-13,Tuesday
233,9,13,1977,2,DM,M,25,44,1977-09-13,Tuesday
234,9,13,1977,9,DM,M,35,45,1977-09-13,Tuesday
235,9,13,1977,13,DM,F,37,45,1977-09-13,Tuesday
238,9,13,1977,2,PE,M,20,19,1977-09-13,Tuesday
243,10,16,1977,6,DM,F,38,44,1977-10-16,Sunday
244,10,16,1977,22,DM,F,36,42,1977-10-16,Sunday
245,10,16,1977,2,DM,M,37,39,1977-10-16,Sunday
246,10,16,1977,13,DM,M,37,47,1977-10-16,Sunday
249,10,16,1977,13,DM,M,36,42,1977-10-16,Sunday
251,10,16,1977,2,DM,M,36,49,1977-10-16,Sunday
253,10,16,1977,20,DM,M,38,39,1977-10-16,Sunday
254,10,16,1977,20,DM,F,36,43,1977-10-16,Sunday
255,10,16,1977,18,DM,M,35,50,1977-10-16,Sunday
256,10,16,1977,6,DM,M,36,41,1977-10-16,Sunday
257,10,16,1977,2,DM,M,37,47,1977-10-16,Sunday
258,10,16,1977,18,DM,F,36,37,1977-10-16,Sunday
259,10,16,1977,2,DM,M,36,41,1977-10-16,Sunday
260,10,16,1977,22,DM,F,36,36,1977-10-16,Sunday
261,10,16,1977,6,DM,M,36,45,1977-10-16,Sunday
262,10,16,1977,20,PE,M,19,20,1977-10-16,Sunday
263,10,16,1977,1,DM,M,37,40,1977-10-16,Sunday
265,10,16,1977,9,DM,M,38,49,1977-10-16,Sunday
268,10,16,1977,2,DM,F,36,55,1977-10-16,Sunday
269,10,16,1977,6,DM,M,37,46,1977-10-16,Sunday
270,10,16,1977,1,DM,F,36,38,1977-10-16,Sunday
273,10,16,1977,9,DM,M,37,44,1977-10-16,Sunday
274,10,16,1977,2,OL,F,20,21,1977-10-16,Sunday
275,10,16,1977,20,DM,M,37,41,1977-10-16,Sunday
280,10,16,1977,18,DM,M,37,46,1977-10-16,Sunday
283,10,16,1977,6,DM,M,34,36,1977-10-16,Sunday
284,10,16,1977,13,DM,M,37,44,1977-10-16,Sunday
285,10,16,1977,1,DM,M,36,53,1977-10-16,Sunday
287,10,17,1977,17,DM,M,38,41,1977-10-17,Monday
288,10,17,1977,17,DM,M,37,48,1977-10-17,Monday
289,10,17,1977,14,DM,M,38,47,1977-10-17,Monday
292,10,17,1977,3,DO,F,36,33,1977-10-17,Monday
293,10,17,1977,4,DM,F,36,42,1977-10-17,Monday
294,10,17,1977,3,DO,F,37,50,1977-10-17,Monday
295,10,17,1977,11,DM,M,36,41,1977-10-17,Monday
298,10,17,1977,19,DM,M,36,49,1977-10-17,Monday
302,10,17,1977,19,DM,F,36,44,1977-10-17,Monday
303,10,17,1977,3,DM,M,36,31,1977-10-17,Monday
304,10,17,1977,21,DM,M,37,40,1977-10-17,Monday
305,10,17,1977,14,DM,F,35,40,1977-10-17,Monday
306,10,17,1977,16,DM,M,33,23,1977-10-17,Monday
307,10,17,1977,19,DM,M,36,42,1977-10-17,Monday
311,10,17,1977,19,RM,M,18,13,1977-10-17,Monday
312,10,17,1977,11,DM,F,36,42,1977-10-17,Monday
313,10,17,1977,19,DM,M,35,31,1977-10-17,Monday
315,10,17,1977,3,DM,M,36,39,1977-10-17,Monday
