record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week,plot_type,genus,species,taxa
23215,1,27,1996,21,PF,F,16,7,1/27/1996,Sat,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23216,1,27,1996,1,DM,M,36,27,1/27/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23217,1,27,1996,17,DM,M,36,25,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23218,1,27,1996,17,DM,M,37,25,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23220,1,27,1996,2,DM,F,36,47,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23221,1,27,1996,18,PF,F,16,9,1/27/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23222,1,27,1996,1,DM,M,34,27,1/27/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23223,1,27,1996,2,DO,M,37,66,1/27/1996,Sat,Control,Dipodomys,ordii,Rodent
23224,1,27,1996,17,DM,F,39,49,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23225,1,27,1996,2,DM,M,40,54,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23226,1,27,1996,1,PB,F,27,38,1/27/1996,Sat,Spectab exclosure,Chaetodipus,baileyi,Rodent
23227,1,27,1996,12,DM,F,39,51,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23228,1,27,1996,21,PP,F,21,16,1/27/1996,Sat,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23229,1,27,1996,18,PF,F,16,9,1/27/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23230,1,27,1996,17,DM,M,36,51,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23231,1,27,1996,22,DM,F,36,43,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23233,1,27,1996,12,DM,F,38,44,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23234,1,27,1996,2,DM,F,35,45,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23235,1,27,1996,17,DM,M,37,42,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23236,1,27,1996,1,DO,M,38,42,1/27/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23237,1,27,1996,2,DM,M,35,46,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23238,1,27,1996,22,DM,M,38,56,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23239,1,27,1996,2,PB,M,29,46,1/27/1996,Sat,Control,Chaetodipus,baileyi,Rodent
23240,1,27,1996,20,PF,M,15,6,1/27/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23241,1,27,1996,24,PE,F,21,23,1/27/1996,Sat,Rodent Exclosure,Peromyscus,eremicus,Rodent
23242,1,27,1996,2,DO,M,36,54,1/27/1996,Sat,Control,Dipodomys,ordii,Rodent
23243,1,27,1996,2,DM,M,36,49,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23244,1,27,1996,24,RM,M,16,10,1/27/1996,Sat,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23245,1,27,1996,12,DM,M,36,56,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23246,1,27,1996,21,PM,F,20,31,1/27/1996,Sat,Long-term Krat Exclosure,Peromyscus,maniculatus,Rodent
23247,1,27,1996,1,DO,M,36,54,1/27/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23248,1,27,1996,19,PP,M,22,16,1/27/1996,Sat,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23249,1,27,1996,1,DO,M,36,48,1/27/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23250,1,27,1996,21,PF,M,15,6,1/27/1996,Sat,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23251,1,27,1996,17,PF,M,17,10,1/27/1996,Sat,Control,Perognathus,flavus,Rodent
23252,1,27,1996,12,DM,F,35,40,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23253,1,27,1996,17,DM,M,36,58,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23255,1,27,1996,1,DO,F,35,53,1/27/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23256,1,27,1996,7,RM,M,12,17,1/27/1996,Sat,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23257,1,27,1996,2,DM,M,36,50,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23258,1,27,1996,2,PE,M,20,25,1/27/1996,Sat,Control,Peromyscus,eremicus,Rodent
23259,1,27,1996,12,DM,M,39,47,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23260,1,27,1996,2,PE,F,20,25,1/27/1996,Sat,Control,Peromyscus,eremicus,Rodent
23261,1,27,1996,20,PF,M,16,9,1/27/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
