record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week,plot_type,genus,species,taxa
23216,1,27,1996,1,DM,M,36,27,1/27/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23220,1,27,1996,2,DM,F,36,47,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23222,1,27,1996,1,DM,M,34,27,1/27/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23224,1,27,1996,17,DM,F,39,49,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23226,1,27,1996,1,PB,F,27,38,1/27/1996,Sat,Spectab exclosure,Chaetodipus,baileyi,Rodent
23227,1,27,1996,12,DM,F,39,51,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23231,1,27,1996,22,DM,F,36,43,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23233,1,27,1996,12,DM,F,38,44,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23234,1,27,1996,2,DM,F,35,45,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23235,1,27,1996,17,DM,M,37,42,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23236,1,27,1996,1,DO,M,38,42,1/27/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23242,1,27,1996,2,DO,M,36,54,1/27/1996,Sat,Control,Dipodomys,ordii,Rodent
23243,1,27,1996,2,DM,M,36,49,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23245,1,27,1996,12,DM,M,36,56,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23246,1,27,1996,21,PM,F,20,31,1/27/1996,Sat,Long-term Krat Exclosure,Peromyscus,maniculatus,Rodent
23258,1,27,1996,2,PE,M,20,25,1/27/1996,Sat,Control,Peromyscus,eremicus,Rodent
23259,1,27,1996,12,DM,M,39,47,1/27/1996,Sat,Control,Dipodomys,merriami,Rodent
23261,1,27,1996,20,PF,M,16,9,1/27/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23262,1,27,1996,1,OT,M,21,25,1/27/1996,Sat,Spectab exclosure,Onychomys,torridus,Rodent
23265,1,28,1996,3,DO,M,39,64,1/28/1996,Sun,Long-term Krat Exclosure,Dipodomys,ordii,Rodent
23266,1,28,1996,4,PF,M,16,9,1/28/1996,Sun,Control,Perognathus,flavus,Rodent
23268,1,28,1996,11,DO,F,37,52,1/28/1996,Sun,Control,Dipodomys,ordii,Rodent
23269,1,28,1996,13,PP,M,23,17,1/28/1996,Sun,Short-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23270,1,28,1996,15,DM,F,35,37,1/28/1996,Sun,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
23271,1,28,1996,13,PF,F,16,7,1/28/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23272,1,28,1996,14,DM,M,36,53,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23278,1,28,1996,8,DO,M,38,60,1/28/1996,Sun,Control,Dipodomys,ordii,Rodent
23282,1,28,1996,14,DM,F,37,50,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23284,1,28,1996,9,PF,F,17,8,1/28/1996,Sun,Spectab exclosure,Perognathus,flavus,Rodent
23287,1,28,1996,3,PP,F,24,18,1/28/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23294,1,28,1996,3,PF,F,16,9,1/28/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23300,1,28,1996,4,DM,F,36,52,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23301,1,28,1996,8,DM,M,38,37,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23303,1,28,1996,4,DM,M,37,36,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23304,1,28,1996,11,RM,M,18,12,1/28/1996,Sun,Control,Reithrodontomys,megalotis,Rodent
23309,1,28,1996,9,DM,F,36,29,1/28/1996,Sun,Spectab exclosure,Dipodomys,merriami,Rodent
23310,1,28,1996,4,DM,F,38,62,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23314,1,28,1996,8,DO,M,36,55,1/28/1996,Sun,Control,Dipodomys,ordii,Rodent
23316,1,28,1996,8,DO,F,36,51,1/28/1996,Sun,Control,Dipodomys,ordii,Rodent
23319,1,28,1996,9,DM,M,38,45,1/28/1996,Sun,Spectab exclosure,Dipodomys,merriami,Rodent
23326,1,28,1996,5,PP,M,23,15,1/28/1996,Sun,Rodent Exclosure,Chaetodipus,penicillatus,Rodent
23329,1,28,1996,14,DM,M,36,53,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23330,1,28,1996,6,PF,F,15,7,1/28/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23331,1,28,1996,8,DM,F,39,51,1/28/1996,Sun,Control,Dipodomys,merriami,Rodent
23332,1,28,1996,5,DO,F,34,34,1/28/1996,Sun,Rodent Exclosure,Dipodomys,ordii,Rodent
23336,1,28,1996,14,PF,F,16,11,1/28/1996,Sun,Control,Perognathus,flavus,Rodent
23338,1,28,1996,9,DM,M,38,43,1/28/1996,Sun,Spectab exclosure,Dipodomys,merriami,Rodent
23341,2,24,1996,2,DM,F,38,55,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23342,2,24,1996,12,DM,F,35,45,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23343,2,24,1996,21,PF,M,16,10,2/24/1996,Sat,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23354,2,24,1996,12,DM,M,39,58,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23358,2,24,1996,1,DM,M,36,37,2/24/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23359,2,24,1996,21,PP,F,21,16,2/24/1996,Sat,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23362,2,24,1996,12,DM,F,38,49,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23365,2,24,1996,2,DM,F,34,49,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23367,2,24,1996,1,PB,F,26,42,2/24/1996,Sat,Spectab exclosure,Chaetodipus,baileyi,Rodent
23368,2,24,1996,2,DM,M,40,55,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23371,2,24,1996,2,PM,M,20,16,2/24/1996,Sat,Control,Peromyscus,maniculatus,Rodent
23373,2,24,1996,1,PB,F,26,31,2/24/1996,Sat,Spectab exclosure,Chaetodipus,baileyi,Rodent
23375,2,24,1996,17,DM,M,37,45,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23380,2,24,1996,12,PF,F,14,7,2/24/1996,Sat,Control,Perognathus,flavus,Rodent
23382,2,24,1996,12,DM,F,37,40,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23386,2,24,1996,17,DM,M,38,52,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23387,2,24,1996,24,PM,M,21,21,2/24/1996,Sat,Rodent Exclosure,Peromyscus,maniculatus,Rodent
23389,2,24,1996,12,DM,M,36,51,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23392,2,24,1996,19,PP,M,21,20,2/24/1996,Sat,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23394,2,24,1996,7,PM,F,21,24,2/24/1996,Sat,Rodent Exclosure,Peromyscus,maniculatus,Rodent
23398,2,24,1996,1,OT,M,21,26,2/24/1996,Sat,Spectab exclosure,Onychomys,torridus,Rodent
23399,2,24,1996,2,PE,F,20,19,2/24/1996,Sat,Control,Peromyscus,eremicus,Rodent
23400,2,24,1996,12,DM,F,35,46,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23405,2,24,1996,12,DM,M,36,53,2/24/1996,Sat,Control,Dipodomys,merriami,Rodent
23410,2,25,1996,3,PP,F,21,18,2/25/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23412,2,25,1996,3,PE,F,19,18,2/25/1996,Sun,Long-term Krat Exclosure,Peromyscus,eremicus,Rodent
23415,2,25,1996,11,DO,F,39,54,2/25/1996,Sun,Control,Dipodomys,ordii,Rodent
23420,2,25,1996,11,PP,M,24,24,2/25/1996,Sun,Control,Chaetodipus,penicillatus,Rodent
23421,2,25,1996,8,PF,F,16,8,2/25/1996,Sun,Control,Perognathus,flavus,Rodent
23424,2,25,1996,4,DM,M,37,51,2/25/1996,Sun,Control,Dipodomys,merriami,Rodent
23425,2,25,1996,13,PM,M,22,23,2/25/1996,Sun,Short-term Krat Exclosure,Peromyscus,maniculatus,Rodent
23439,2,25,1996,6,PF,F,16,8,2/25/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23441,2,25,1996,14,DM,M,38,51,2/25/1996,Sun,Control,Dipodomys,merriami,Rodent
23442,2,25,1996,3,PP,M,21,16,2/25/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23448,2,25,1996,15,PF,M,17,11,2/25/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23460,2,25,1996,13,PF,M,16,8,2/25/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23462,2,25,1996,13,PF,F,17,8,2/25/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23464,2,25,1996,16,DM,M,35,32,2/25/1996,Sun,Rodent Exclosure,Dipodomys,merriami,Rodent
23469,2,25,1996,13,PF,M,16,10,2/25/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23474,2,25,1996,5,PF,F,16,7,2/25/1996,Sun,Rodent Exclosure,Perognathus,flavus,Rodent
23476,2,25,1996,9,DM,F,37,47,2/25/1996,Sun,Spectab exclosure,Dipodomys,merriami,Rodent
23480,2,25,1996,15,DM,M,38,50,2/25/1996,Sun,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
23484,2,25,1996,5,PF,F,16,8,2/25/1996,Sun,Rodent Exclosure,Perognathus,flavus,Rodent
23488,2,25,1996,15,DM,F,35,47,2/25/1996,Sun,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
23490,2,25,1996,5,DM,F,39,55,2/25/1996,Sun,Rodent Exclosure,Dipodomys,merriami,Rodent
23491,2,25,1996,15,PF,F,15,10,2/25/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23492,2,25,1996,5,OT,F,21,28,2/25/1996,Sun,Rodent Exclosure,Onychomys,torridus,Rodent
23493,2,25,1996,16,DO,F,35,38,2/25/1996,Sun,Rodent Exclosure,Dipodomys,ordii,Rodent
23498,3,23,1996,2,DM,F,36,41,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23503,3,23,1996,23,RM,M,18,10,3/23/1996,Sat,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23504,3,23,1996,2,PE,M,20,21,3/23/1996,Sat,Control,Peromyscus,eremicus,Rodent
23507,3,23,1996,1,PF,M,15,8,3/23/1996,Sat,Spectab exclosure,Perognathus,flavus,Rodent
23512,3,23,1996,20,PF,F,17,9,3/23/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23515,3,23,1996,24,RM,F,17,13,3/23/1996,Sat,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23516,3,23,1996,12,PM,M,20,17,3/23/1996,Sat,Control,Peromyscus,maniculatus,Rodent
23524,3,23,1996,20,PE,M,21,22,3/23/1996,Sat,Short-term Krat Exclosure,Peromyscus,eremicus,Rodent
23536,3,23,1996,12,DO,M,45,51,3/23/1996,Sat,Control,Dipodomys,ordii,Rodent
23540,3,23,1996,7,RM,F,16,12,3/23/1996,Sat,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23543,3,23,1996,7,PP,F,21,17,3/23/1996,Sat,Rodent Exclosure,Chaetodipus,penicillatus,Rodent
23544,3,23,1996,17,DM,M,37,45,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23547,3,23,1996,2,PE,F,20,18,3/23/1996,Sat,Control,Peromyscus,eremicus,Rodent
23548,3,23,1996,1,DM,M,40,58,3/23/1996,Sat,Spectab exclosure,Dipodomys,merriami,Rodent
23549,3,23,1996,2,DM,M,38,44,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23553,3,23,1996,7,PP,M,23,21,3/23/1996,Sat,Rodent Exclosure,Chaetodipus,penicillatus,Rodent
23560,3,23,1996,18,PF,M,16,7,3/23/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23561,3,23,1996,1,DO,M,34,37,3/23/1996,Sat,Spectab exclosure,Dipodomys,ordii,Rodent
23565,3,23,1996,2,DM,M,37,48,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23575,3,23,1996,12,DM,M,37,49,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23579,3,23,1996,17,OT,F,21,31,3/23/1996,Sat,Control,Onychomys,torridus,Rodent
23581,3,23,1996,17,PF,M,17,8,3/23/1996,Sat,Control,Perognathus,flavus,Rodent
23584,3,23,1996,12,DM,M,33,36,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23589,3,23,1996,17,DM,F,36,42,3/23/1996,Sat,Control,Dipodomys,merriami,Rodent
23591,3,23,1996,18,PF,F,17,10,3/23/1996,Sat,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23592,3,23,1996,2,RM,M,17,11,3/23/1996,Sat,Control,Reithrodontomys,megalotis,Rodent
23599,3,23,1996,18,RM,M,17,11,3/23/1996,Sat,Short-term Krat Exclosure,Reithrodontomys,megalotis,Rodent
23602,3,23,1996,21,RM,F,17,12,3/23/1996,Sat,Long-term Krat Exclosure,Reithrodontomys,megalotis,Rodent
23603,3,24,1996,16,DM,M,35,42,3/24/1996,Sun,Rodent Exclosure,Dipodomys,merriami,Rodent
23606,3,24,1996,13,PF,M,16,9,3/24/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23607,3,24,1996,14,DM,M,36,49,3/24/1996,Sun,Control,Dipodomys,merriami,Rodent
23614,3,24,1996,8,PP,M,22,21,3/24/1996,Sun,Control,Chaetodipus,penicillatus,Rodent
23616,3,24,1996,3,PF,F,16,8,3/24/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23617,3,24,1996,8,PP,F,21,16,3/24/1996,Sun,Control,Chaetodipus,penicillatus,Rodent
23618,3,24,1996,13,PM,F,22,20,3/24/1996,Sun,Short-term Krat Exclosure,Peromyscus,maniculatus,Rodent
23623,3,24,1996,3,PP,M,22,18,3/24/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23630,3,24,1996,11,PM,F,19,14,3/24/1996,Sun,Control,Peromyscus,maniculatus,Rodent
23632,3,24,1996,11,DO,M,36,43,3/24/1996,Sun,Control,Dipodomys,ordii,Rodent
23634,3,24,1996,3,PP,F,22,15,3/24/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23635,3,24,1996,15,DM,M,39,48,3/24/1996,Sun,Long-term Krat Exclosure,Dipodomys,merriami,Rodent
23636,3,24,1996,14,PP,F,24,18,3/24/1996,Sun,Control,Chaetodipus,penicillatus,Rodent
23637,3,24,1996,5,DO,F,36,49,3/24/1996,Sun,Rodent Exclosure,Dipodomys,ordii,Rodent
23639,3,24,1996,10,RM,M,16,10,3/24/1996,Sun,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23641,3,24,1996,13,DM,F,36,39,3/24/1996,Sun,Short-term Krat Exclosure,Dipodomys,merriami,Rodent
23643,3,24,1996,14,PP,M,22,22,3/24/1996,Sun,Control,Chaetodipus,penicillatus,Rodent
23645,4,14,1996,2,DM,F,37,47,4/14/1996,Sun,Control,Dipodomys,merriami,Rodent
23651,4,14,1996,19,PF,F,17,9,4/14/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23652,4,14,1996,22,PF,F,17,8,4/14/1996,Sun,Control,Perognathus,flavus,Rodent
23653,4,14,1996,17,DM,M,38,40,4/14/1996,Sun,Control,Dipodomys,merriami,Rodent
23656,4,14,1996,1,PF,M,15,8,4/14/1996,Sun,Spectab exclosure,Perognathus,flavus,Rodent
23660,4,14,1996,24,PM,M,20,18,4/14/1996,Sun,Rodent Exclosure,Peromyscus,maniculatus,Rodent
23661,4,14,1996,18,PF,F,17,9,4/14/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23662,4,14,1996,17,DM,M,38,39,4/14/1996,Sun,Control,Dipodomys,merriami,Rodent
23665,4,14,1996,21,PP,F,21,20,4/14/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23668,4,14,1996,19,PF,M,16,8,4/14/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23671,4,14,1996,20,RM,M,19,11,4/14/1996,Sun,Short-term Krat Exclosure,Reithrodontomys,megalotis,Rodent
23673,4,14,1996,17,DM,M,37,49,4/14/1996,Sun,Control,Dipodomys,merriami,Rodent
23678,4,14,1996,22,PF,F,16,7,4/14/1996,Sun,Control,Perognathus,flavus,Rodent
23687,4,14,1996,2,DM,M,40,56,4/14/1996,Sun,Control,Dipodomys,merriami,Rodent
23688,4,14,1996,18,PF,M,16,7,4/14/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23691,4,14,1996,17,PF,M,18,9,4/14/1996,Sun,Control,Perognathus,flavus,Rodent
23692,4,14,1996,18,PP,M,24,23,4/14/1996,Sun,Short-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23704,4,14,1996,18,PF,M,17,8,4/14/1996,Sun,Short-term Krat Exclosure,Perognathus,flavus,Rodent
23710,4,14,1996,12,OL,M,21,27,4/14/1996,Sun,Control,Onychomys,leucogaster,Rodent
23711,4,14,1996,19,PP,M,24,18,4/14/1996,Sun,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23713,4,14,1996,23,RM,M,17,13,4/14/1996,Sun,Rodent Exclosure,Reithrodontomys,megalotis,Rodent
23715,4,14,1996,1,DO,M,37,38,4/14/1996,Sun,Spectab exclosure,Dipodomys,ordii,Rodent
23720,4,14,1996,1,DO,M,34,37,4/14/1996,Sun,Spectab exclosure,Dipodomys,ordii,Rodent
23721,4,14,1996,19,PF,M,17,9,4/14/1996,Sun,Long-term Krat Exclosure,Perognathus,flavus,Rodent
23724,4,14,1996,20,PP,F,24,25,4/14/1996,Sun,Short-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23727,4,14,1996,1,PF,F,15,7,4/14/1996,Sun,Spectab exclosure,Perognathus,flavus,Rodent
23729,4,14,1996,2,PE,F,20,22,4/14/1996,Sun,Control,Peromyscus,eremicus,Rodent
23730,4,14,1996,24,PE,M,20,20,4/14/1996,Sun,Rodent Exclosure,Peromyscus,eremicus,Rodent
23733,4,15,1996,13,PM,M,20,21,4/15/1996,Mon,Short-term Krat Exclosure,Peromyscus,maniculatus,Rodent
23741,4,15,1996,3,PP,M,23,20,4/15/1996,Mon,Long-term Krat Exclosure,Chaetodipus,penicillatus,Rodent
23744,4,15,1996,8,PF,M,16,8,4/15/1996,Mon,Control,Perognathus,flavus,Rodent
