record_id,plot_id,species_id,sex,hindfoot_length,weight,date,day_of_week,plot_type
23216,1,DM,M,36,27,1/27/1996,Sat,Spectab exclosure
23220,2,DM,F,36,47,1/27/1996,Sat,Control
23222,1,DM,M,34,27,1/27/1996,Sat,Spectab exclosure
23224,17,DM,F,39,49,1/27/1996,Sat,Control
23226,1,PB,F,27,38,1/27/1996,Sat,Spectab exclosure
23227,12,DM,F,39,51,1/27/1996,Sat,Control
23231,22,DM,F,36,43,1/27/1996,Sat,Control
23233,12,DM,F,38,44,1/27/1996,Sat,Control
23234,2,DM,F,35,45,1/27/1996,Sat,Control
23235,17,DM,M,37,42,1/27/1996,Sat,Control
23236,1,DO,M,38,42,1/27/1996,Sat,Spectab exclosure
23242,2,DO,M,36,54,1/27/1996,Sat,Control
23243,2,DM,M,36,49,1/27/1996,Sat,Control
23245,12,DM,M,36,56,1/27/1996,Sat,Control
23246,21,PM,F,20,31,1/27/1996,Sat,Long-term Krat Exclosure
23258,2,PE,M,20,25,1/27/1996,Sat,Control
23259,12,DM,M,39,47,1/27/1996,Sat,Control
23261,20,PF,M,16,9,1/27/1996,Sat,Short-term Krat Exclosure
23262,1,OT,M,21,25,1/27/1996,Sat,Spectab exclosure
23265,3,DO,M,39,64,1/28/1996,Sun,Long-term Krat Exclosure
23266,4,PF,M,16,9,1/28/1996,Sun,Control
23268,11,DO,F,37,52,1/28/1996,Sun,Control
23269,13,PP,M,23,17,1/28/1996,Sun,Short-term Krat Exclosure
23270,15,DM,F,35,37,1/28/1996,Sun,Long-term Krat Exclosure
23271,13,PF,F,16,7,1/28/1996,Sun,Short-term Krat Exclosure
23272,14,DM,M,36,53,1/28/1996,Sun,Control
23278,8,DO,M,38,60,1/28/1996,Sun,Control
23282,14,DM,F,37,50,1/28/1996,Sun,Control
23284,9,PF,F,17,8,1/28/1996,Sun,Spectab exclosure
23287,3,PP,F,24,18,1/28/1996,Sun,Long-term Krat Exclosure
23294,3,PF,F,16,9,1/28/1996,Sun,Long-term Krat Exclosure
23300,4,DM,F,36,52,1/28/1996,Sun,Control
23301,8,DM,M,38,37,1/28/1996,Sun,Control
23303,4,DM,M,37,36,1/28/1996,Sun,Control
23304,11,RM,M,18,12,1/28/1996,Sun,Control
23309,9,DM,F,36,29,1/28/1996,Sun,Spectab exclosure
23310,4,DM,F,38,62,1/28/1996,Sun,Control
23314,8,DO,M,36,55,1/28/1996,Sun,Control
23316,8,DO,F,36,51,1/28/1996,Sun,Control
23319,9,DM,M,38,45,1/28/1996,Sun,Spectab exclosure
23326,5,PP,M,23,15,1/28/1996,Sun,Rodent Exclosure
23329,14,DM,M,36,53,1/28/1996,Sun,Control
23330,6,PF,F,15,7,1/28/1996,Sun,Short-term Krat Exclosure
23331,8,DM,F,39,51,1/28/1996,Sun,Control
23332,5,DO,F,34,34,1/28/1996,Sun,Rodent Exclosure
23336,14,PF,F,16,11,1/28/1996,Sun,Control
23338,9,DM,M,38,43,1/28/1996,Sun,Spectab exclosure
23341,2,DM,F,38,55,2/24/1996,Sat,Control
23342,12,DM,F,35,45,2/24/1996,Sat,Control
23343,21,PF,M,16,10,2/24/1996,Sat,Long-term Krat Exclosure
23354,12,DM,M,39,58,2/24/1996,Sat,Control
23358,1,DM,M,36,37,2/24/1996,Sat,Spectab exclosure
23359,21,PP,F,21,16,2/24/1996,Sat,Long-term Krat Exclosure
23362,12,DM,F,38,49,2/24/1996,Sat,Control
23365,2,DM,F,34,49,2/24/1996,Sat,Control
23367,1,PB,F,26,42,2/24/1996,Sat,Spectab exclosure
23368,2,DM,M,40,55,2/24/1996,Sat,Control
23371,2,PM,M,20,16,2/24/1996,Sat,Control
23373,1,PB,F,26,31,2/24/1996,Sat,Spectab exclosure
23375,17,DM,M,37,45,2/24/1996,Sat,Control
23380,12,PF,F,14,7,2/24/1996,Sat,Control
23382,12,DM,F,37,40,2/24/1996,Sat,Control
23386,17,DM,M,38,52,2/24/1996,Sat,Control
23387,24,PM,M,21,21,2/24/1996,Sat,Rodent Exclosure
23389,12,DM,M,36,51,2/24/1996,Sat,Control
23392,19,PP,M,21,20,2/24/1996,Sat,Long-term Krat Exclosure
23394,7,PM,F,21,24,2/24/1996,Sat,Rodent Exclosure
23398,1,OT,M,21,26,2/24/1996,Sat,Spectab exclosure
23399,2,PE,F,20,19,2/24/1996,Sat,Control
23400,12,DM,F,35,46,2/24/1996,Sat,Control
23405,12,DM,M,36,53,2/24/1996,Sat,Control
23410,3,PP,F,21,18,2/25/1996,Sun,Long-term Krat Exclosure
23412,3,PE,F,19,18,2/25/1996,Sun,Long-term Krat Exclosure
23415,11,DO,F,39,54,2/25/1996,Sun,Control
23420,11,PP,M,24,24,2/25/1996,Sun,Control
23421,8,PF,F,16,8,2/25/1996,Sun,Control
23424,4,DM,M,37,51,2/25/1996,Sun,Control
23425,13,PM,M,22,23,2/25/1996,Sun,Short-term Krat Exclosure
23439,6,PF,F,16,8,2/25/1996,Sun,Short-term Krat Exclosure
23441,14,DM,M,38,51,2/25/1996,Sun,Control
23442,3,PP,M,21,16,2/25/1996,Sun,Long-term Krat Exclosure
23448,15,PF,M,17,11,2/25/1996,Sun,Long-term Krat Exclosure
23460,13,PF,M,16,8,2/25/1996,Sun,Short-term Krat Exclosure
23462,13,PF,F,17,8,2/25/1996,Sun,Short-term Krat Exclosure
23464,16,DM,M,35,32,2/25/1996,Sun,Rodent Exclosure
23469,13,PF,M,16,10,2/25/1996,Sun,Short-term Krat Exclosure
23474,5,PF,F,16,7,2/25/1996,Sun,Rodent Exclosure
23476,9,DM,F,37,47,2/25/1996,Sun,Spectab exclosure
23480,15,DM,M,38,50,2/25/1996,Sun,Long-term Krat Exclosure
23484,5,PF,F,16,8,2/25/1996,Sun,Rodent Exclosure
23488,15,DM,F,35,47,2/25/1996,Sun,Long-term Krat Exclosure
23490,5,DM,F,39,55,2/25/1996,Sun,Rodent Exclosure
23491,15,PF,F,15,10,2/25/1996,Sun,Long-term Krat Exclosure
23492,5,OT,F,21,28,2/25/1996,Sun,Rodent Exclosure
23493,16,DO,F,35,38,2/25/1996,Sun,Rodent Exclosure
23498,2,DM,F,36,41,3/23/1996,Sat,Control
23503,23,RM,M,18,10,3/23/1996,Sat,Rodent Exclosure
23504,2,PE,M,20,21,3/23/1996,Sat,Control
23507,1,PF,M,15,8,3/23/1996,Sat,Spectab exclosure
23512,20,PF,F,17,9,3/23/1996,Sat,Short-term Krat Exclosure
23515,24,RM,F,17,13,3/23/1996,Sat,Rodent Exclosure
23516,12,PM,M,20,17,3/23/1996,Sat,Control
