plot_id,species_id,sex,weight,date,plot_type
1,DM,M,27,1/27/1996,Spectab exclosure
2,DM,F,47,1/27/1996,Control
1,DM,M,27,1/27/1996,Spectab exclosure
17,DM,F,49,1/27/1996,Control
1,PB,F,38,1/27/1996,Spectab exclosure
12,DM,F,51,1/27/1996,Control
22,DM,F,43,1/27/1996,Control
12,DM,F,44,1/27/1996,Control
2,DM,F,45,1/27/1996,Control
17,DM,M,42,1/27/1996,Control
1,DO,M,42,1/27/1996,Spectab exclosure
2,DO,M,54,1/27/1996,Control
2,DM,M,49,1/27/1996,Control
12,DM,M,56,1/27/1996,Control
21,PM,F,31,1/27/1996,Long-term Krat Exclosure
2,PE,M,25,1/27/1996,Control
12,DM,M,47,1/27/1996,Control
20,PF,M,9,1/27/1996,Short-term Krat Exclosure
1,OT,M,25,1/27/1996,Spectab exclosure
3,DO,M,64,1/28/1996,Long-term Krat Exclosure
4,PF,M,9,1/28/1996,Control
11,DO,F,52,1/28/1996,Control
13,PP,M,17,1/28/1996,Short-term Krat Exclosure
15,DM,F,37,1/28/1996,Long-term Krat Exclosure
13,PF,F,7,1/28/1996,Short-term Krat Exclosure
14,DM,M,53,1/28/1996,Control
8,DO,M,60,1/28/1996,Control
14,DM,F,50,1/28/1996,Control
9,PF,F,8,1/28/1996,Spectab exclosure
3,PP,F,18,1/28/1996,Long-term Krat Exclosure
3,PF,F,9,1/28/1996,Long-term Krat Exclosure
4,DM,F,52,1/28/1996,Control
8,DM,M,37,1/28/1996,Control
4,DM,M,36,1/28/1996,Control
11,RM,M,12,1/28/1996,Control
9,DM,F,29,1/28/1996,Spectab exclosure
4,DM,F,62,1/28/1996,Control
8,DO,M,55,1/28/1996,Control
8,DO,F,51,1/28/1996,Control
9,DM,M,45,1/28/1996,Spectab exclosure
5,PP,M,15,1/28/1996,Rodent Exclosure
14,DM,M,53,1/28/1996,Control
6,PF,F,7,1/28/1996,Short-term Krat Exclosure
8,DM,F,51,1/28/1996,Control
5,DO,F,34,1/28/1996,Rodent Exclosure
14,PF,F,11,1/28/1996,Control
9,DM,M,43,1/28/1996,Spectab exclosure
2,DM,F,55,2/24/1996,Control
12,DM,F,45,2/24/1996,Control
21,PF,M,10,2/24/1996,Long-term Krat Exclosure
12,DM,M,58,2/24/1996,Control
1,DM,M,37,2/24/1996,Spectab exclosure
21,PP,F,16,2/24/1996,Long-term Krat Exclosure
12,DM,F,49,2/24/1996,Control
2,DM,F,49,2/24/1996,Control
1,PB,F,42,2/24/1996,Spectab exclosure
2,DM,M,55,2/24/1996,Control
2,PM,M,16,2/24/1996,Control
1,PB,F,31,2/24/1996,Spectab exclosure
17,DM,M,45,2/24/1996,Control
12,PF,F,7,2/24/1996,Control
12,DM,F,40,2/24/1996,Control
17,DM,M,52,2/24/1996,Control
24,PM,M,21,2/24/1996,Rodent Exclosure
12,DM,M,51,2/24/1996,Control
19,PP,M,20,2/24/1996,Long-term Krat Exclosure
7,PM,F,24,2/24/1996,Rodent Exclosure
1,OT,M,26,2/24/1996,Spectab exclosure
2,PE,F,19,2/24/1996,Control
12,DM,F,46,2/24/1996,Control
12,DM,M,53,2/24/1996,Control
3,PP,F,18,2/25/1996,Long-term Krat Exclosure
3,PE,F,18,2/25/1996,Long-term Krat Exclosure
11,DO,F,54,2/25/1996,Control
11,PP,M,24,2/25/1996,Control
8,PF,F,8,2/25/1996,Control
4,DM,M,51,2/25/1996,Control
13,PM,M,23,2/25/1996,Short-term Krat Exclosure
6,PF,F,8,2/25/1996,Short-term Krat Exclosure
14,DM,M,51,2/25/1996,Control
3,PP,M,16,2/25/1996,Long-term Krat Exclosure
15,PF,M,11,2/25/1996,Long-term Krat Exclosure
13,PF,M,8,2/25/1996,Short-term Krat Exclosure
13,PF,F,8,2/25/1996,Short-term Krat Exclosure
16,DM,M,32,2/25/1996,Rodent Exclosure
13,PF,M,10,2/25/1996,Short-term Krat Exclosure
5,PF,F,7,2/25/1996,Rodent Exclosure
9,DM,F,47,2/25/1996,Spectab exclosure
15,DM,M,50,2/25/1996,Long-term Krat Exclosure
5,PF,F,8,2/25/1996,Rodent Exclosure
15,DM,F,47,2/25/1996,Long-term Krat Exclosure
5,DM,F,55,2/25/1996,Rodent Exclosure
15,PF,F,10,2/25/1996,Long-term Krat Exclosure
5,OT,F,28,2/25/1996,Rodent Exclosure
16,DO,F,38,2/25/1996,Rodent Exclosure
2,DM,F,41,3/23/1996,Control
23,RM,M,10,3/23/1996,Rodent Exclosure
2,PE,M,21,3/23/1996,Control
1,PF,M,8,3/23/1996,Spectab exclosure
20,PF,F,9,3/23/1996,Short-term Krat Exclosure
